,0
Royal Chicken Dum Biryani With Half Chicken Fiery Kebab,"https://res.cloudinary.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_208,h_208,c_fit/kvyf5fijotzc3pjcre8b"
Royal Chicken Dum Biryani With Gulab Jamun,"https://res.cloudinary.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_208,h_208,c_fit/bayrpgzhjsfe0uziz163"
Nizami Chicken Dum Biryani With Gulab Jamun,"https://res.cloudinary.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_208,h_208,c_fit/qfwunwfmkafnmmpfwp2p"
Royal Chicken Dum Biryani With Double Ka Meetha,"https://res.cloudinary.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_208,h_208,c_fit/hb5ad8ealem1c6stlv0w"
Nizami Chicken Dum Biryani With Double Ka Meetha,"https://res.cloudinary.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_208,h_208,c_fit/ydfbhk3fxtlqjsifur5y"
Special Veg Dum Biryani With Gulab Jamun,"https://res.cloudinary.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_208,h_208,c_fit/ngvliltugucwk7gqr3tm"
Special Veg Dum Biryani With Double Ka Meetha,"https://res.cloudinary.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_208,h_208,c_fit/qhooe4v9ycehzv8pfdiw"
2 Mini Chicken Dum Biryani,"https://res.cloudinary.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_208,h_208,c_fit/ocprstrl6vvwj0zedc4q"
Supreme Chicken Dum Biryani (Serves 4-5),"https://res.cloudinary.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_208,h_208,c_fit/ze0w0nxxvj634tctxezz"
Supreme Veg Dum Biryani (Serves 4-5),"https://res.cloudinary.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_208,h_208,c_fit/zyizlownjcao74qiogfu"
Supreme Mutton Dum Biryani (Serves 4-5),"https://res.cloudinary.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_208,h_208,c_fit/dodmnomxbih5ydhpvhak"
Dakshin-e-Khaas Kebabs,"https://res.cloudinary.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_208,h_208,c_fit/ngeay99tegof5gxtuq3q"
Chicken Fiery Kebab,"https://res.cloudinary.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_208,h_208,c_fit/mbmsmb7xdwkfqfulatqw"
Royal Chicken Dum Biryani (Serves 1),"https://res.cloudinary.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_208,h_208,c_fit/qri3z8e8r9yzzxqhthvn"
