,0
Royal Chicken Dum Biryani With Half Chicken Fiery Kebab,"Non-veg item. Royal Chicken Dum Biryani With Half Chicken Fiery Kebab. Costs: 439 rupees, Description: Royal Chicken Biryani With Half Chicken Fiery Kebab Swipe right to add item to cart."
Royal Chicken Dum Biryani With Gulab Jamun,"Non-veg item. Royal Chicken Dum Biryani With Gulab Jamun. Costs: 329 rupees, Description: Royal Chicken Biryani with Gulab Jamun Swipe right to add item to cart."
Nizami Chicken Dum Biryani With Gulab Jamun,"Non-veg item. Nizami Chicken Dum Biryani With Gulab Jamun. Costs: 549 rupees, Description: Nizami Chicken Biryani with Gulab Jamun Swipe right to add item to cart."
Royal Chicken Dum Biryani With Double Ka Meetha,"Non-veg item. Royal Chicken Dum Biryani With Double Ka Meetha. Costs: 349 rupees, Description: Royal Chicken Biryani with Double Ka Meetha Swipe right to add item to cart."
Nizami Chicken Dum Biryani With Double Ka Meetha,"Non-veg item. Nizami Chicken Dum Biryani With Double Ka Meetha. Costs: 579 rupees, Description: Nizami Chicken Biryani with Double Ka Meetha Swipe right to add item to cart."
Special Veg Dum Biryani With Gulab Jamun,"Veg Item. Special Veg Dum Biryani With Gulab Jamun. Costs: 419 rupees, Description: Special Veg Biryani with Gulab Jamun Swipe right to add item to cart."
Special Veg Dum Biryani With Double Ka Meetha,"Veg Item. Special Veg Dum Biryani With Double Ka Meetha. Costs: 419 rupees, Description: Special Veg Biryani With Double Ka Meetha Swipe right to add item to cart."
2 Mini Chicken Dum Biryani,"Non-veg item. 2 Mini Chicken Dum Biryani. This item is a Bestseller, Costs: 299 rupees, Description: Mini Chicken Biryani(pack of 2) A small portion Size of 350 Grams each accompanied with succulent Chicken piece & blend of spices, layered with the finest Basmati Rice apt for 2 Light Eaters Swipe right to add item to cart."
Supreme Chicken Dum Biryani (Serves 4-5),"Non-veg item. Supreme Chicken Dum Biryani (Serves 4-5). Costs: 1499 rupees, Description: Freshly Cooked Kachhi Dum Biryani made with the finest of long grain Basmati Rice and cooked with succulent 4 pieces of chicken (leg or breast), marinated in an exotic blend of handpicked spices, and then garnished with strands of saffron and aromatic ghee (clarified butter). You can fnd 4 large pieces of very tender and very juicy pieces of chicken. It's served with 4 complimentary portions of Mirchi Ka Salan and Raita and can be thoroughly enjoyed between 4-5 members of a family. Swipe right to add item to cart."
Supreme Veg Dum Biryani (Serves 4-5),"Veg Item. Supreme Veg Dum Biryani (Serves 4-5). Costs: 1249 rupees, Description: The authentic Veg delicacy seasoned with herbs and spices and then layered into fine grain Basmati Rice and cooked to perfection. The extra-large portion ensures that it can be shared between 4 to 5 persons easily. Served along with 4 packets of Mirchi-ka-Salan and Raita each. Swipe right to add item to cart."
Supreme Mutton Dum Biryani (Serves 4-5),"Non-veg item. Supreme Mutton Dum Biryani (Serves 4-5). Costs: 1599 rupees, Description: Freshly Cooked Kachhi Dum Biryani made with the finest of long grain Basmati Rice and cooked with 24 tender pieces of lamb, marinated in an exotic blend of handpicked spices, and then garnished with strands of saffron and aromatic ghee (clarified butter). It's served with 4 complimentary portions of Mirchi Ka Salan and Raita and can be thoroughly enjoyed between 4-5 members of a family. Swipe right to add item to cart."
Dakshin-e-Khaas Kebabs,"Non-veg item. Dakshin-e-Khaas Kebabs. Costs: 419 rupees, Description: Chicken Kalmi Kebabs cooked with exotic south indian spices. 4 juicy leg pieces to make you enjoy true southern flavors. Enhances your Biryani experience to another level. Swipe right to add item to cart."
Chicken Fiery Kebab,"Non-veg item. Chicken Fiery Kebab. Costs: 369 rupees, Description: Fiery 8 pieces of succulent spicy boneless chicken, marinated with paradise exotic masalas and cooked to perfection. Swipe right to add item to cart."
Royal Chicken Dum Biryani (Serves 1),"Non-veg item. Royal Chicken Dum Biryani (Serves 1). This item is a Bestseller, Costs: 259 rupees, Description: An Authentic Hyderabadi Biryani with upto 430 gms of Rice,where succulent one piece of chicken (drumstick) is marinated with a blend of spices, layered with the finest Basmati Rice and garnished with generous portions of saffron strands and ghee (clarified butter). It's served with a complimentary portion of Mirchi-ka-Salan and Raita, and is just perfect for one person's appetite. Swipe right to add item to cart."
